RNK,TITLE,RATE,DIRECTOR,YEAR,MAIN GENRE,SUB-GENRE,GENRE,GENRE_name,sub
202,The Maze Runner 2: The Scorch Trials,5,Wes Ball,2015,Sci-Fi,Adventure,3,,
203,The Hitman's Bodyguard,5,Patrick Hughes,2017,Action,Crime,8,,
204,Iron Man 3,5,Shane Black,2013,Sci-Fi,Action,3,,
205,6 Underground,5,Michael Bay,2019,Action,Thriller,8,,
206,Fast & Furious 7,5,James Wan,2015,Action,Adventure,8,,
207,Kingsman: Secret Service,5,Matthew Vaughn,2014,Action,Comedy,8,,
208,Iron Man 2,5,Jon Favreau,2010,Sci-Fi,Action,3,,
209,Fast & Furious: Hobbs & Shaw,5,David Leitch,2019,Action,Adventure,8,,
210,The Maze Runner 3: The Death Cure,5,Wes Ball,2018,Sci-Fi,Adventure,3,,
211,Don't Look Up,5,Adam McKay,2021,Sci-Fi,Comedy,3,,
212,Yol Arkadaşım,5,Bedran Güzel,2017,Comedy,Buddy,10,,
213,Dedemin Fişi,5,Meltem Bozoflu,2016,Comedy,Buddy,10,,
214,Ice Age 5: Collision Course,5,Mike Thurmeier,2016,Animation,Adventure,4,,
215,Ice Age 4: Continental Drift,5,Mike Thurmeier,2012,Animation,Adventure,4,,
216,Ratatoille,5,Brad Bird,2007,Animation,Adventure,4,,
217,Çalgı Çengi,5,Selçuk Aydemir,2011,Comedy,Buddy,10,,
218,Turkish Ice Cream,5,Can Ulkay,2019,Drama,War,2,,
219,Fermat's Room,5,Luis Piedrahita,2007,Mystery,Thriller,1,,
220,Ice Age 3: Dawn Of The Dinosaurs,5,Carlos Saldanha,2009,Animation,Adventure,4,,
221,The Matrix 4: Ressurections,4,Lana Wachowski,2021,Sci-Fi,Action,3,,
222,Space Jam 2: A New Legacy,4,Malcolm D. Lee,2021,Animation,Sport,4,,
223,Asterix At The Olympic Games,4,Frederic Forestier,2008,Comedy,Adventure,10,,
224,The Incredible Hulk,4,Louis Letterier,2008,Fantastic,Action,9,,
225,Maskeli Beşler 3: Kıbrıs,4,Murat Aslan,2008,Comedy,Buddy,10,,
226,Maskeli Beşler: İntikam Peşinde,4,Murat Aslan,2005,Comedy,Adventure,10,,
227,Maskeli Beşler 2: Irak,4,Murat Aslan,2007,Comedy,Adventure,10,,
228,Hep Yek,4,Ali Yorgancığlu,2016,Comedy,Buddy,10,,
229,Düğün Dernek,4,Selçuk Aydemir,2013,Comedy,Buddy,10,,
230,Düğün Dernek 2: Sünnet,4,Selçuk Aydemir,2015,Comedy,Buddy,10,,
231,Redirected,4,Emilis Velyvis,2014,Comedy,Crime,10,,
232,Sweet 20,4,Phan Xine Lihn,2015,Comedy,Music,10,,
233,Death Race,4,Paul W.S. Anderson,2008,Action,Thriller,8,,
234,The Hitcher,4,Robert Harmon,2007,Crime,Thriller,6,,
235,Rio,3,Carlos Saldanha,2011,Animation,Adventure,4,,
236,Eyvah Eyvah,3,Hakan Algül,2010,Comedy,Buddy,10,,
237,Eyvah Eyvah 2,3,Hakan Algül,2011,Comedy,Buddy,10,,
238,Recep İvedik 4,3,Togan Gökbakar,2014,Comedy,Buddy,10,,
239,Recep İvedik 5,3,Togan Gökbakar,2017,Comedy,Buddy,10,,
240,Eyvah Eyvah 3,3,Hakan Algül,2014,Comedy,Buddy,10,,
241,The 5th Wave,3,Jonathan Blakeson,2016,Sci-Fi,Action,3,,
242,Kötü Kedi Şerafettin,3,Mehmet Kurtuluş,2016,Animation,Comedy,4,,
243,Dondurmam Gaymak,3,Yüksel Aksu,2005,Comedy,Drama,10,,
244,Pompeii,3,Paul W.S. Anderson,2014,Action,Adventure,8,,
245,Mandıra Filozofu,2,Müfit Can Saçıntı,2013,Comedy,Epic,10,,
